img_name,lbl_name,x_min,y_min,x_max,y_max
1_A0001_1-18.jpg,1_A0001_1-18.png,286,310,355,402
2_A0001_1-17.jpg,2_A0001_1-17.png,289,317,353,391
3_A0001_1-16.jpg,3_A0001_1-16.png,285,319,355,389
4_A0007_1-09.jpg,4_A0007_1-09.png,322,318,381,380
5_A0007_1-08.jpg,5_A0007_1-08.png,334,297,392,373
6_A0012_1-24.jpg,6_A0012_1-24.png,191,216,217,251
7_A0014_2-025.jpg,7_A0014_2-025.png,121,238,187,302
8_A0014_2-026.jpg,8_A0014_2-026.png,121,230,186,306
9_A0014_2-027.jpg,9_A0014_2-027.png,116,227,190,298
10_A0014_2-028.jpg,10_A0014_2-028.png,117,224,181,288
11_A0014_3-025.jpg,11_A0014_3-025.png,121,245,186,299
12_A0014_3-028.jpg,12_A0014_3-028.png,117,223,184,289
13_A0014_3-026.jpg,13_A0014_3-026.png,118,232,184,302
14_A0014_1-028.jpg,14_A0014_1-028.png,119,231,186,294
15_A0014_1-026.jpg,15_A0014_1-026.png,122,231,184,299
16_A0014_1-15.jpg,16_A0014_1-15.png,163,170,229,243
17_A0014_1-14.jpg,17_A0014_1-14.png,170,172,228,239
18_A0014_1-025.jpg,18_A0014_1-025.png,122,242,187,303
19_A0018_2-170.jpg,19_A0018_2-170.png,201,277,229,312
20_A0018_2-175.jpg,20_A0018_2-175.png,192,273,229,306
21_A0018_2-174.jpg,21_A0018_2-174.png,195,274,228,306
22_A0018_2-173.jpg,22_A0018_2-173.png,198,274,226,308
23_A0018_2-172.jpg,23_A0018_2-172.png,198,276,228,309
24_A0018_2-171.jpg,24_A0018_2-171.png,196,277,227,308
25_A0018_2-169.jpg,25_A0018_2-169.png,200,279,229,315
26_A0018_2-106.jpg,26_A0018_2-106.png,185,298,223,340
27_A0018_2-108.jpg,27_A0018_2-108.png,188,295,219,336
28_A0018_2-107.jpg,28_A0018_2-107.png,187,295,224,338
29_A0018_2-104.jpg,29_A0018_2-104.png,184,299,221,334
30_A0018_2-103.jpg,30_A0018_2-103.png,186,298,221,338
31_A0018_2-168.jpg,31_A0018_2-168.png,201,283,228,313
32_A0018_1-044.jpg,32_A0018_1-044.png,196,273,230,307
33_A0018_2-102.jpg,33_A0018_2-102.png,186,298,222,336
34_A0018_3-043.jpg,34_A0018_3-043.png,188,275,223,309
35_A0018_3-027.jpg,35_A0018_3-027.png,185,298,220,334
36_A0018_3-026.jpg,36_A0018_3-026.png,186,301,220,333
37_A0018_3-025.jpg,37_A0018_3-025.png,189,304,217,334
38_A0018_3-024.jpg,38_A0018_3-024.png,192,304,219,330
39_A0018_4-1.jpg,39_A0018_4-1.png,191,279,223,312
40_A0018_2-026.jpg,40_A0018_2-026.png,189,298,220,333
41_A0018_2-025.jpg,41_A0018_2-025.png,194,303,218,327
42_A0018_2-024.jpg,42_A0018_2-024.png,201,306,219,324
43_A0018_1-043.jpg,43_A0018_1-043.png,200,277,228,311
44_A0018_1-025.jpg,44_A0018_1-025.png,194,303,219,333
45_A0018_2-027.jpg,45_A0018_2-027.png,184,298,220,333
46_A0018_2-101.jpg,46_A0018_2-101.png,188,299,218,336
47_A0018_2-044.jpg,47_A0018_2-044.png,198,276,228,307
48_A0018_2-099.jpg,48_A0018_2-099.png,190,300,219,332
49_A0018_1-100.jpg,49_A0018_1-100.png,188,299,220,330
50_A0018_1-099.jpg,50_A0018_1-099.png,191,298,219,330
51_A0018_1-097.jpg,51_A0018_1-097.png,192,303,218,330
52_A0018_1-096.jpg,52_A0018_1-096.png,195,303,220,329
53_A0018_1-095.jpg,53_A0018_1-095.png,195,305,221,329
54_A0018_1-094.jpg,54_A0018_1-094.png,197,303,218,327
55_A0018_1-093.jpg,55_A0018_1-093.png,198,304,217,327
56_A0018_1-091.jpg,56_A0018_1-091.png,201,306,219,324
57_A0018_2-100.jpg,57_A0018_2-100.png,188,301,218,331
58_A0018_1-101.jpg,58_A0018_1-101.png,185,300,220,333
59_A0018_1-102.jpg,59_A0018_1-102.png,185,294,219,333
60_A0018_1-092.jpg,60_A0018_1-092.png,200,305,220,327
61_A0018_1-104.jpg,61_A0018_1-104.png,186,296,220,336
62_A0018_1-103.jpg,62_A0018_1-103.png,185,297,222,333
63_A0018_2-098.jpg,63_A0018_2-098.png,189,300,220,330
64_A0018_2-097.jpg,64_A0018_2-097.png,192,304,219,333
65_A0018_2-096.jpg,65_A0018_2-096.png,194,303,217,329
66_A0018_1-178.jpg,66_A0018_1-178.png,197,288,228,306
67_A0018_1-174.jpg,67_A0018_1-174.png,192,274,229,304
68_A0018_1-173.jpg,68_A0018_1-173.png,191,272,230,305
69_A0018_1-172.jpg,69_A0018_1-172.png,195,273,228,306
70_A0018_1-106.jpg,70_A0018_1-106.png,187,298,221,334
71_A0018_1-170.jpg,71_A0018_1-170.png,197,277,228,310
72_A0018_1-169.jpg,72_A0018_1-169.png,198,279,231,312
73_A0018_1-168.jpg,73_A0018_1-168.png,201,279,227,315
74_A0018_1-107.jpg,74_A0018_1-107.png,187,298,218,332
75_A0018_1-105.jpg,75_A0018_1-105.png,184,298,221,335
76_A0019_3-031.jpg,76_A0019_3-031.png,314,236,388,308
77_A0019_1-16.jpg,77_A0019_1-16.png,301,278,372,352
78_A0019_1-17.jpg,78_A0019_1-17.png,306,280,371,348
79_A0019_2-032.jpg,79_A0019_2-032.png,319,230,390,303
80_A0019_1-031.jpg,80_A0019_1-031.png,318,239,386,307
81_A0019_1-030.jpg,81_A0019_1-030.png,311,233,389,305
82_A0019_2-030.jpg,82_A0019_2-030.png,317,235,387,309
83_A0019_1-033.jpg,83_A0019_1-033.png,320,236,393,312
84_A0019_1-032.jpg,84_A0019_1-032.png,313,236,384,308
85_A0024_1-04.jpg,85_A0024_1-04.png,351,265,425,335
86_A0024_1-05.jpg,86_A0024_1-05.png,354,267,420,338
87_A0025_1-10.jpg,87_A0025_1-10.png,184,162,308,263
88_A0025_1-15.jpg,88_A0025_1-15.png,201,156,303,269
89_A0025_1-12.jpg,89_A0025_1-12.png,172,146,316,253
90_A0025_1-11.jpg,90_A0025_1-11.png,181,146,313,260
91_A0025_1-09.jpg,91_A0025_1-09.png,173,162,305,264
92_A0025_1-08.jpg,92_A0025_1-08.png,194,161,305,250
